staggered;подреден на етапи;arranged so that things happen at different times, not positioned in a regular way;WoW Classic is going to have a staggered raid system.
crops;посеви;;
indulgent;разглезващ;allowing someone to have what they want, especially when this is not good for them;He had to be a strict father but he was indulgent to his daughter. That's why she became a prostitute.
pout ????;цупене;to show annoyance by pressing the lips together;She pouted at him by crossing lips.
elated;въодушевен, ликуващ;extremely happy and excited, often because something has happened or been achieved;The people of Athens were cheering and elated because they have won against Sparta in war.
sullen ??????;начумерен и тих;angry and unwilling to smile or be pleasant to people;Ellen was a dark and sullen girl, with bad moods and quiet loneliness.
resent;ненавиждам;?to dislike or be angry someone because you have been hurt or not treated fairly;He resented being ignored and to be belittled.
resentment;недоволство;a feeling of anger because you have been forced to accept something you do not like;He harbours a deep resentment against his parents for his miserable childhood.
tranquil;спокоен;calm, quiet, and peaceful;The forest was green and tranquil.
deplorable;окаян, много зле;very bad;The deplorable conditions of the prison.
libel;клевета;a piece of writing that says bad, false, and harmful things about a person;He sued the company for libel because they wrote an article with lies about the company.
grumpy;раздразнен;being in a slightly angry mood because you are annoyed at something or are feeling tired;Grump had an already pissed off and grumpy mood on Monday morning.
unsound ??X??;нездрави, неподходящи;in bad condition and likely to fall down or fail;From the sound of what I'm hearing, he was involved in unsound banking practices.
astute ????????;лукав, проницателен;[as-tute]: able to understand a situation quickly and see how to take advantage of it;Barney knows where to turn his ass to: wearing a suit always helps Barney be astute in his assessments of people and abuse them.
dispassionate ????;неемоционален;[dis-pass-ionate]: able to think clearly or make good decisions because not influenced by emotions;The book is intended to provide a more dispassionate understanding of recent history.
scrupulous ??????????;педантично коректен;[scrupu-lous]: extremely accurate and exact;The boss is out of town, but John is very scrupulous and won't leave the office until 6:00pm.
specious ??????;лицемерен;[spec-i-ous]: seeming to be right or true, but really wrong or false;He was the most lying and specious person I've ever seen.
scorn ??????;презрение;[s-corn]: a strong feeling that something is of little or no worth, deserving no respect;Lucius Malfoy looked at the Weasleys filled with scorn, as if they were not human.
commissioner;началник, комисар;?an important official who has responsibility in a government department or organization;One factor which could delay an enclosure was the death of one or more commissioners.
enclosure;заграждение;an area surrounded by fences or walls;The police has created an enclosure with yellow 'do not pass' marker.
prudent;благоразумен и внимателен;careful and avoiding risks;It's always prudent to read a contract carefully before signing it
imprudent;необмислен и глупав;unwise, by failing to consider the likely results of your actions;Boss, I think your idea is stupid!' - said the imprudent engineer.
unfathomable ?????;неразгадаем;impossible to understand;For some unfathomable reason they have decided to build a flat without a toilet!
contemptuous ????;презрителен;[contempt-uous]: expressing or feeling a lack of respect;The horse, as a senior member, he was openly contemptuous towards the junior members and would often kick them in the face.
scathing ?????? ??;унищожителен, смазващ;[s-ca-thing]: severely critical and unkind;The Washington Post launched a scathing attack against Trump.
tally  1??,2??,3??,4??,...;преброявам;[tall-y]: a record or count of a number of items;Your days alive here in Italy are tallied! - the allies said to Mussolini.
trim;подрязвам;to make something neater or more even by cutting a small amount off;Trimming the hedge.
trimmings;краища;decorative material added around the edge of something;I wore my black dress with the orange trimmings around the sleeves.
hedge;жив плет;green grass which is often grown in front of houses in Western Europe;Harry trimmed the hedge as a punishment to casting fake magic towards Dudley.
flamboyant ??????????;пищен;intended to be noticed, espеcially by being brightly colored;The flamboyantly dressed boy with clothes of bright flames was noticed by everyone.
frown;мръщя се;to bring your eyebrows together so that there are lines on your face;She frowned at me, clearly dissatisfied with what she has heard.
ornate;с много орнаменти;having a lot of decoration;The mosque of Sinan has an ornate design with millions of decorative writings.
conspicuous ??;очевиден;"easily noticed; obvious";The recipient of the Medal of Honor was conspicuously brave and honorable man.
inconspicuous;незабележим;"[in-con-spi-cuous]: not easily noticed or seen; not attracting attention";The sleeping horse was inconspicuous to the man who had torn his nerves to find it.
clerk;чиновник;a person employed to keep records and to undertake routine administrative tasks;Being a clerk is the opposite of being an entrepreneur.
indigent ??????????;беден, сиромах;having no money or anything else of value;The poor indigent was living inside a hole a very poor and indigent life.
assiduous????????;старателен, прилежен;[ass-i-duo-us]: showing hard work, care, and attention to detail;He worked his ass off and was very assiduous in his preparations for GRE: missing no details.
autocratic;самоуправляващ;controlled by one leader with total power, and does not allow others to make decisions;There was only one autocratic boss in the entire company: everyone else was an employee.
self-serving;работещ за себе си;working or acting for your own advantage;Politicians are infamously self-serving.
robin;червеношийка;a small bird with red stomach;
prototype;оригинален първичен модел;the original model of something from which later forms are developed;Ford GT is a prototype of the modern GT car.
harbringer ??????;предвестник;[har-binger]: a person or thing that shows that something is going to happen soon;Birds are the harbingers of spring.
herald ??????;"сигнализирам; вестител";to announce or signal that something is approaching;Herald of incoming economic crysis.
progeny;потомство;"[pro-geny]: the young of a person, animal, or plant; offspring";The wives took their progenies out on picnic.
solemn;формален, официален;;
truculent;агресивен и предизвикващ;"[tru-cul-ent]: eager or quick to argue or fight; aggressively defiant; taunting";I don't know what truculent means, but it's me!' said the truculent bully who would taunt everyone who is a true cultist.
pugnacious;спорещ и побойнически;[pug-naci-ous]: ready to fight or to argue very forcefully;Тhe increasingly pugnacious demeanor of politicians
defiant;дързък;[de-fia-nt]: challenging;The defiant ones went against the FIA.
digress;отклонявам се;to move away from the main subject and discuss something else;Let us try to consider the matter without digressing into the entirely different issues
confer;"обсъждам; давам";to talk together and exchange ideas, often with the intention of reaching a decision;The president conferred the idea with his advisors about the new economic policy.
confederate;съучастник;[con-federate]: someone you work together with in a secret, sometimes illegal, activity;The confederate of Federer was his horse!
bicker ????????;разправям се за простотии;[bi-cker]: to argue about unimportant matters;The bickers were squabbling and bickering over whether stupid things: I wish there was at least a bit of  value in it!
quarrel;кавга;an angry disagreement between people, groups, or countries;He couldn't stand the quarrels between his mother and father.
dismember;нарязвам на парчета;to cut a body, esp. of an animal, into pieces;The serial killer has dismembered the body of the young girl to 1000 pieces.
rebuff;отблъсквам, отсичам;to refuse to accept a suggestion or help in an unfriendly way;I won't buff you again!' - she rebuffed and waved her knife!
abrupt;рязък;[ab-rupt]: sudden and unexpected;Danger: Abrupt end of the road! Don't blame us when your car goes in the depth of the ocean.
buff;полирам;rub an object made of metal, wood, or leather in order to make it shine, using a towel;He buffed the meal with the towel until it was shining!
squabble;разправия, сдърпване;noisy quarrel about something petty or trivial;The twe brown and gray squirrel engaged in a hilarious squabble which one was more awesome.
disposition ??????;характер, нрав;[dis-position]: a person’s usual way of feeling or behaving;This position is not affected by my character or disposition!
prune;"подрязвам; синя слива";to cut off unwanted branches from a tree, bush, or other plant;The lumberjack prunned the prune tree!
monastic;монашески;of or related to monasteries or monks;Monastic wine.
deplore ???????????;осъждам, упреквам;"to say or think that something is very bad; condemn";The scientists judged as bad deplored the lack of attention to the deep lore by the government.
deflower;отнемам девствеността;to have sex with a woman who has never had sex before;He deflowered her!
ballot;бюлетина;a piece of paper on which you write a secret vote;Ballot is used for voting.
flick;"филм; удар";а Hollywood motion picture;Titanic was a good flick.
retcon;реткон;Retroactive Continuity': giving new information which changes the meaning of old;The last book of Harry Potter provided many retcons about Dumbledore.
breed;порода;a particular type of animal or plant;Rottweiller is a dog breed.
brood;потомство, челяд;"a group of young birds all born at the same time; children";The brood of Nozdormu.
sentient;чувствителен;able to experience feelings;It is hard for a sentient person to understand how any parents could treat their child so badly.
cesium;цезий;chemical element;
scribe;писар;a person who made written copies of documents, before the invention of printing;Paisiy Hilendarski was a famous scribe.
inscribed;гравиран, вписан;to write words in a book or cut words onto the surface of an object;A circle inscribed inside a triangle. Letters inscribed on the wall of a mosque.
vernacular;диалект;form of a language commonly spoken by the people of a particular region or group;The vernacular of African Americans in prison was the prototype of the hip hop lingo.
lingo;жаргон;containing informal language or technical expressions, or a foreign language;This is hot money' - remarked with his street lingo Bob about the stolen money.
script;писменост;writing done by hand in which the letters of a word are joined to each other;The Bulgarian script is created between the years of 863 and 867.
insular ?? || ???;"oстровен; ограничен; изолиран";"[in-sular]: island, isolated by water; person isolated by his own opinions and beliefs";Those old stubborn insular village people! Arrgh!
judgemental;осъждащ;tending to form opinions too quickly, esp. when disapproving of someone or something;The judge is judgemental and is going to sentence and label your ass to death!
amiable;приветлив;pleasant and friendly;Amy was a very friendly and amiable lady that everyone liked to talking to.
dispose;"изхвърлям; предразполагам";"to get rid of something; to make someone feel in some way";Who's responsibility is to dispose and throw away the garbage? Her blonde hair disposed me to like her.
disposed;предразположен;?to have a specific feeling or opinion about someone or something;Pleasantly disposed. Ill-disposed. 
cordial;топли и приветливи;[cor-dial]: friendly, but formal and polite;The relationships between two world leaders are pleasant, amiable and cordial.
connoisseur???????;ценител;a person who has expert knowledge of something, esp. an art, food, or drink;A delicate portrait of Leonardo: reserved only for connoiseurs.
perplexing ???????????;объркващ;[per-plex-ing]: confusing, because you don't know how to solve it;The chief made a perplexing mixture of perplexes and confused everyone.
opaque;"непрозрачен; непроницаем";"not allowing you to see through it; diffcult to understand";Window glass is transparent whereas wood is opaque. His poetry is opaque.
hypochondrical;мислещ, че е болен, но не е;a person who continuously worries about their health without having any reason to do so;She is truly hypochondriacal: drinking all kind of juices and eating vegan stuff.
conscientous;съвестен;[con-scienti-ous]: feeling a moral responsibility to do your work carefully and to be fair;He is always conscientious when including correct data in his paper.
fervent;страстен;[fer-vent]: with strong feelings;А fervent fan of Fervex and took one immediately each time he had a fever.
ardent ??????;страстен;[ar-dent]: with strong feelings;An ardent fan of the Argent Crusade and Amsterdam dentists.
gregarious ????????????????????????;общителен, социален;[greg-ari-ous]: liking to be with other people;Greg is that gregarious dude always finds someone to talk to, even among complete strangers.
improbable;неправдоподобен, не-вероятен;"not likely to be true or to happen; not probable";It's improbable that the civil law will start look similarly to the mafia laws.
ambivalent ??????;"противоречив; със смесени противоречиви чувства";[am-bi-valent]: contradiction: having two opposing feelings at the same time;Ambivalence is contradiction: He wants to lead a healthy life, but he loves smoking.
infamous;скандално известен с;"well known for something bad; notorious";Swifty is infamous for many cheats which led to many bans and fixes.
notorious;прословут;famous for something immoral or bad;He was a notorious gangster known for murdering many families.
felicitous ?? ?? ??;удачен;[feli-cito-us]: suitable or right and expressing well the intended thought or feeling;A felicitous way to respond to what Felicia has done is by writing a diss song to her.
ephemeral ?????;краткотраен;[ep-he-meral]: lasting only a short time;The fame of Meral was ephemeral and lasted only 2 days.
tenacity;твърдост;the determination to continue what you are doing;There are only ten people per city with such tenacity to never give up from their mission and go on.
deprecate ??????;не одобрявам да се;[de-pre-cate]: to not approve of something to be done;Cate has always deprecated all my achievements.
butler;иконом;[but-ler]: male servant in a house;Alfred is the butler of Batman who always provides some advice to his butt and touches the butts of his mistresses.
versed ??XP????;опитен;[ver-se-d]: to know a lot about a particular subject or be experienced in a particular skill;I'm not sufficiently versed for this version of XML to understand what you're saying.
jeers;освирквания;a shouted insult or laughter ridiculing someone;The team were surprised to hear jeers from its own fans when they entered the stadium.
discern;различавам;[di-scern]: to see, recognize, or understand something that is not clear;The archeologists must discern the authentic urn from the fake urn.
remark on ????????;отбелязвам, забелязвам;[re-mark]: to notice a change about something and make a remark about it;All his friends remarked on the change of Mark since his marriage - he was a changed man.
neglect;оставям без грижа, пренебр.;[ne-gle-ct]: to fail to give needed care or attention to someone or something;The park was in a sorry state of neglect.
ramble ????????????;"скитам; бърборя";to talk or walk in a confused way, often for a long time:;They were rambling somewhere outside rambling about their long and boring vacation.
terse ????No.;краткословно;using few words;No.' - he said tersely.
"florid ??????;??????";"зачервен; претрупан";too red or too decorated;Her cheeks have became as florid as the red roses which she had received. The design of the roses was too overdecorated with florid details.
equivocal;двусмислен;[equi-vocal]: unclear and seeming to have two opposing meanings;On the poker table, she gave an equivocal response which could be interpreted both as good or bad.
pithy ???????? ???? ;кратък и изразителен;[pi-thy]: short but with deep meaning;You keep it pithy as ?? - short and clear as the Pythogorean theorem!
discursive;прескачащ от тема на тема;[disc-ursive]: talking about subjects that are only slightly connected with the main;He was always discursive in his discussions in order to avoid answering direct questions.
disinclined;несклонен, нежелаещ;[dis-incline]: to not want to do something;I am disinclined to offer him the job, because he doesn't have a degree.
loath ????????;нежелаещ;unwilling, reluctant;Lorren was unwilling and loath to admit a mistake: she stole the pie.
loathe;мразя го;to feel strong hate, dislike, or disgust for someone or something;Hate, double hate, loathe everything!
diligent;старателен, усърден;?[dil-igent]: careful and serious in your work, or done in a careful and determined way;A diligent worker who always delivers results with no mistakes.
foolhardy;безразсъден;[fool-hardy]: brave in a silly way, taking unnecessary risks;Dante, you are a rash and foolhardy fool: always choosing the hard way to take unneeded risks!
rash;безразсъден;"[r-ash]: without thought for what might happen or result; unwise in your actions";Dante, you are a rash and foolhardy fool: always choosing the hard way to take unneeded risks!
impetuous;безразсъден, буен;[impet-u-ous]: acting or done suddenly without much thought;Then, impetuous as I was, I bought a new car before I even got a job.
headstrong;вироглав;[head-strong]: determined to do or think what you want despite opposition from others;Headstrong like a ram: never listens to anyone!
obstinate;инат;[obst-inate]: unwilling to change your opinion or action despite persuation;The donkey remained obstinate to the efforts of his master to make it cross the river.
postulate;"предполагам; предпоставка";to suggest something as the starting point for an experiment;The young virgins were killed with the postulate that this might ease the will of gods
vaunt;хваля се;[v-aunt]: to speak proudly about something in a way that is more than reasonable;He always vaunted about her aunt and cars which she gave him to drive.
shunned ??????;отбягвам;[sh-unn]: to avoid or refuse to accept someone or something;Eminem shunned publicity and giving interviews after he retired.
miser;мизерник-скъперник;someone who has money and hates to spend it, sometimes living like a poor person;Jews sometimes live pretty miserly.
amass;натрупвам;[a-mass]: to gather a large amount of something over time;He has amassed a huge mass of gold.
hoard;"запасявам; имане";[ho-ard]: to amass objects somewhere hidden, in order to use during crisis;Many people hoarded hordes of food and gold in wartime in secret shelters for use during the horrors.
shelter;"убежище; скривалище"; place giving temporary protection from bad weather or danger;Ayo, Rabbit, are you coming to The Shelter tonight?
quarrelsome;кавгаджийски;[quarrel-some]: who argues with other people often;He was a quarrelsome person, starting quarrels for money and property always.
drizzle;лек дъждец, ръмене;rain in very small, light drops;As he was running and slight drizzle started to water upon him with little cold drops.
dazzling;заслепяващ;light is so bright that you cannot see for a short time;The flash grenade had a dazzling effect on everyone inside the room.
studded;на шипове;decorated with small, bright-colored nails, often specially shaped;Outside was cold and she was with her studded death metal jacket.
studs;шипове;a small, bright-colored nail, often fixed to a cloth as a decoration;She was outside in the cold with her death metal jacket with many studs on it.
spines;бодли;one of the thin, pointed objects that are part of the outer surface of plants or animals;The green cactus has many sharp spines on it.
obtuse;тъп;stupid or slow to understand;Oh, how obtuse you are, is there a reason to talk with you, oh no!
brittle ????????;крехък, чуплив;[bri-ttle]: delicate and easily broken;British people are known to be as brittle as glass.
convex ?;изпъкнал;curved outward;The back on the camel is convex.
concave ?;вдлъбнат;curved inward;The valley is a concave.
rugged ???? | ??__??__;"здрав, суров; неравен";"strong or powerful; not delicate";I wanted an album so rugged that nobody could touch it.
rag;парцал;;From rags to riches, from fags to bitches.
rug;килим;;The red persian rug on the floor.
inordinate;прекален;[in-ordi-nate]: unreasonably or unusually large in size or degree;You are being inordinate!' - she told him about his excessive tone.
marginal;незначителен, на границата;[margin-al]: small in amount or effect;The difference between the price of USD in Bulgaria and Romania was marginal.
inadvertent ??????;без да искам;[in-advert-ly]: done by accident;I spilled my milk inadvertently on the floor.
inadequate;недостатъчен;[in-ade-quate]: not enough;Your scores are inadequate to apply in that program. You need to increase your scores.
excessive;прекален;too much;Excessive violence.
eloquent;убедителен, красноречив;using language to express ideas or opinions clearly and well with strong effect;Kennedy won the election because he was eloquent like a giant elephant in his talks.
candor ????????;искреност;[can-door]: the quality of being honest and sincere;Candor and honesty sometimes can blow off doors!
frank;искрен;honest;Frank is honest, sincere and always telling you the truth directly.
bind to;обвързвам с;to force someone to keep a promise;He was bound to abide by the rules of the contract.
embarrass;излагам, засрамвам;to cause someone to feel anxious, ashamed, or uncomfortable;He know that if they found him in that bar he would be exposed to shame and embarrassment.
disgust;отвращение;[dis-gust]: a feeling of becoming ill caused by something unpleasant;She felt disgust that they discussed licking his ass.
disquiet;безпокойство;[dis-quiet]: worry;There was disquiet among everyone in the room because no one has seen Hitler this quiet.
unsettle;обезпокоявам;[un-settle]: feel anxious and worried:;The settlers were worried and unsettled because they were about to be removed from the peaceful settlement.
frontier;граница;[front-ier]: a border between two things;The frontier between good and bad is thin.
atomism;индивидуалност;to be one and alone;Atomism is growing among young people in 21 century as they are becoming increasingly lonely.
antithetical;противоположен;[anti-the-tical]: the opposite of something;Good is the anthetical of bad.
aspire;стремя се към;[a-spi-re]: hoping and trying to be successful at a particular activity;He was only sleeping and re-doing everything again to become in his aspirings to become an artist.
revitalize;реенергизирам;to put new energy into something;The economy has revitalized after the tax cut.
descent;"наклон; произход";[des-cent]: a way down, such as a path, or an act of coming down;The 50 cent has descented from the black hill tops down to the white city.
fasten;закопчавам;to make or become firmly attached or closed;Fasten your seatbelts!
impoverished;обеднял;very poor;Impoverished people of Africa.
enmity;враждебност;strong dislike or hate;Emil and Mit were dating the same woman: they were looking at each with enmity.
indulge;наслаждавам се;[in-dul-ge]: allow yourself or someone else to have something enjoyable;He indulged while eating a coconut pasta.
elope;избягвам с любимия;[e-lope]: to escape home secretly to get married;Penelope eloped with his loved one to get married!
aversion;антипатия;[a-version]: not liking something;I don't like apples, I have a a hateful version of aversion against them!' - applehater averred.
honking;бибиткащ;to sound a horn to make short, loud signal;Hong Kong is full of honking cars with their klaxons.
bit;парче;a little part of something;We need every bit of evidence we can find.
goblet;бокал;a container from which a drink, especially wine, is drunk, usually made of glass or metal;Harry Potter and the Goblet of Fire.
